,ClassificationCode,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,STUDENTAID_MEN,STUDENTAID_WOMEN,STUDENTAID_TOTAL,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,RECRUITEXP_TOTAL,HDCOACH_SALARY_MEN,HDCOACH_SALARY_WOMEN,NUM_HDCOACH_MEN,NUM_HDCOACH_WOMEN,HDCOACH_SAL_FTE_MEN,HDCOACH_SAL_FTE_WOMN,FTE_HDCOACH_MEN,FTE_HDCOACH_WOMEN,ASCOACH_SALARY_MEN,ASCOACH_SALARY_WOMEN,NUM_ASCOACH_MEN,NUM_ASCOACH_WOMEN,ASCOACH_SAL_FTE_MEN,ASCOACH_SAL_FTE_WOMN,FTE_ASCOACH_MEN,FTE_ASCOACH_WOMEN,IL_PARTIC_MEN,IL_PARTIC_WOMEN,IL_SUM_PARTIC_MEN,IL_SUM_PARTIC_WOMEN,IL_OPEXPPERPART_MEN,IL_OPEXPPERTEAM_MEN,IL_OPEXPPERPART_WOMEN,IL_OPEXPPERTEAM_WOMEN,IL_TOTAL_OPEXP_MENWOMEN,IL_SUM_OPEXPPERPART_MEN,IL_SUM_OPEXPPERTEAM_MEN,IL_SUM_OPEXPPERPART_WOMEN,IL_SUM_OPEXPPERTEAM_WOMEN,IL_MEN_FTHEADCOACH_MALE,IL_MEN_PTHEADCOACH_MALE,IL_MEN_FTUNIVEMPLOY_MALE,IL_MEN_PTUNIVEMPLOY_MALE,IL_MEN_FTHEADCOACH_FEM,IL_MEN_PTHEADCOACH_FEM,IL_MEN_FTUNIVEMPLOY_FEM,IL_MEN_PTUNIVEMPLOY_FEM,IL_MEN_TOTAL_HEADCOACH,IL_WOMEN_FTHDCOACH_MALE,IL_WOMEN_PTHDCOACH_MALE,IL_WOMEN_FTUNIVEMP_MALE,IL_WOMEN_PTUNIVEMP_MALE,IL_WOMEN_FTHDCOACH_FEM,IL_WOMEN_PTHDCOACH_FEM,IL_WOMEN_FTUNIVEMP_FEM,IL_WOMEN_PTUNIVEMP_FEM,IL_WOMEN_TOTAL_HDCOACH,IL_SUM_FTHDCOACH_MALE,IL_SUM_PTHDCOACH_MALE,IL_SUM_FTUNIVEMP_MALE,IL_SUM_PTUNIVEMP_MALE,IL_SUM_FTHDCOACH_FEM,IL_SUM_PTHDCOACH_FEM,IL_SUM_FTUNIVEMP_FEM,IL_SUM_PTUNIVEMP_FEM,IL_SUM_TOTAL_HDCOACH,IL_MEN_FTASCOACH_MALE,IL_MEN_PTASCOACH_MALE,IL_MEN_FTACUNIVEMP_MALE,IL_MEN_PTACUNIVEMP_MALE,IL_MEN_FTASSTCOACH_FEM,IL_MEN_PTASSTCOACH_FEM,IL_MEN_FTACUNIVEMP_FEM,IL_MEN_PTACUNIVEMP_FEM,IL_MEN_TOTAL_ASSTCOACH,IL_WOMEN_FTASCOACH_MALE,IL_WOMEN_PTASCOACH_MALE,IL_WOMEN_FTACUNEMP_MALE,IL_WOMEN_PTACUNEMP_MALE,IL_WOMEN_FTASTCOACH_FEM,IL_WOMEN_PTASTCOACH_FEM,IL_WOMN_FTACUNIVEMP_FEM,IL_WOMN_PTACUNIVEMP_FEM,IL_WOMEN_TOTAL_ASTCOACH,IL_SUM_FTASCOACH_MALE,IL_SUM_PTASCOACH_MALE,IL_SUM_FTACUNIVEMP_MALE,IL_SUM_PTACUNIVEMP_MALE,IL_SUM_FTASCOACH_FEM,IL_SUM_PTASCOACH_FEM,IL_SUM_FTACUNIVEMP_FEM,IL_SUM_PTACUNIVEMP_FEM,IL_SUM_TOTAL_ASSTCOACH,IL_REV_MEN,IL_REV_WOMEN,IL_TOTAL_REV_MENWOMEN,IL_REVENUE_MENALL,IL_REVENUE_WOMENALL,IL_TOTAL_REVENUE_ALL,IL_EXP_MEN,IL_EXP_WOMEN,IL_TOTAL_EXP_MENWOMEN,IL_EXPENSE_MENALL,IL_EXPENSE_WOMENALL,IL_TOTAL_EXPENSE_ALL,UNDUP_CT_PARTIC_MEN,UNDUP_CT_PARTIC_WOMEN,TOT_REVENUE_ALL_NOTALLOC,TOT_EXPENSE_ALL_NOTALLOC,GRND_TOTAL_REVENUE,GRND_TOTAL_EXPENSE,cluster,PC1,PC2,university
115,5,8282,11721,20003,1,594917.0,690038.0,1284955,46,54,21253.0,15356.0,36609,72334.0,62758.0,6.0,8.0,124001.0,105698.0,3.5,4.75,10247.0,10103.0,22.0,25.0,52063.0,50820.0,4.33,4.97,149.0,188.0,149,188,17647.0,421173.0,18454.0,349603.0,770776.0,17647,421173,18454,349603,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,1.0,8.0,3,0,3,0,2,9,10,1,14,3.0,10.0,3.0,10.0,0.0,9.0,0.0,9.0,22.0,1.0,12.0,1.0,12.0,3.0,9.0,3.0,9.0,25.0,4,22,4,22,3,18,3,18,47,1401471.0,1542424.0,2943895.0,1401471,1542424,2943895,1401471.0,1542424.0,2943895.0,1401471,1542424,2943895,115,114,2789155,2789155,7037187,7037187,3,2.2809854094599533,4.546553682693826,California State University-Los Angeles
116,3,13103,15953,29056,1,1476802.0,2065717.0,3542519,42,58,183925.0,76845.0,260770,135400.0,79438.0,6.0,9.0,147709.0,95326.0,5.5,7.5,60880.0,37325.0,13.0,17.0,87452.0,59580.0,9.05,10.65,214.0,246.0,214,246,57463.0,1383739.0,61055.0,1258943.0,2642682.0,57463,1383739,61055,1258943,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,7.0,0.0,2.0,0.0,2.0,0.0,9.0,9,4,13,0,2,0,2,0,15,5.0,7.0,9.0,3.0,0.0,1.0,1.0,0.0,13.0,1.0,6.0,3.0,4.0,5.0,5.0,6.0,4.0,17.0,6,13,12,7,5,6,7,4,30,3665481.0,4193376.0,7858857.0,3665481,4193376,7858857,3722347.0,4124421.0,7846768.0,3722347,4124421,7846768,173,188,4976777,4976777,16362169,16362169,1,7.764868159491906,-2.576064841753716,California State University-Northridge
117,2,10031,13150,23181,1,2113375.0,2598836.0,4712211,45,55,142020.0,109559.0,251579,125370.0,69727.0,7.0,10.0,141092.0,84110.0,6.22,8.29,41405.0,31470.0,22.0,19.0,48738.0,50758.0,18.69,11.78,252.0,316.0,252,316,77992.0,2079539.0,72151.0,1500770.0,3580309.0,77992,2079539,72151,1500770,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,7.0,1.0,2.0,0.0,2.0,0.0,10.0,8,7,12,3,2,0,2,0,17,9.0,13.0,9.0,13.0,0.0,2.0,0.0,2.0,24.0,2.0,9.0,2.0,9.0,0.0,14.0,0.0,14.0,25.0,11,22,11,22,0,16,0,16,49,2888923.0,5627988.0,8516911.0,2888923,5627988,8516911,2888923.0,5627988.0,8516911.0,2888923,5627988,8516911,220,248,11405554,10786219,26485704,25866369,1,8.687099791869581,1.8310814422273844,California State University-Sacramento
118,1,13574,14533,28107,1,6692569.0,5808727.0,12501296,54,46,819618.0,293055.0,1112673,518462.0,171542.0,12.0,14.0,541004.0,177895.0,11.5,13.5,131972.0,70689.0,33.0,25.0,159527.0,76836.0,27.3,23.0,595.0,457.0,595,457,201492.0,10496295.0,157705.0,3798985.0,14295280.0,201492,10496295,157705,3798985,11.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,5.0,0.0,9.0,0.0,9.0,0.0,14.0,15,2,17,0,9,0,9,0,26,23.0,18.0,28.0,13.0,0.0,3.0,1.0,2.0,44.0,9.0,10.0,14.0,5.0,11.0,10.0,13.0,8.0,40.0,32,28,42,18,11,13,14,10,84,7555232.0,1529523.0,9084755.0,7555232,1529523,9084755,10075509.0,13936572.0,24012081.0,10075509,13936572,24012081,518,395,25098161,27956239,89382397,86097059,4,29.32131199853628,-0.5756552401816406,University of California-Berkeley
119,2,11582,16962,28544,1,3722692.0,4025812.0,7748504,48,52,315417.0,177335.0,492752,110424.0,70182.0,9.0,14.0,157749.0,100260.0,6.3,9.8,48929.0,38203.0,24.0,23.0,61002.0,44445.0,19.25,19.77,286.0,345.0,286,345,71891.0,2076689.0,68897.0,1561028.0,3637717.0,71891,2076689,68897,1561028,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,14.0,0,16,16,0,0,7,7,0,23,16.0,12.0,21.0,7.0,0.0,2.0,1.0,1.0,30.0,5.0,8.0,9.0,4.0,12.0,9.0,13.0,8.0,34.0,21,20,30,11,12,11,14,9,64,3263025.0,7338720.0,10601745.0,3263025,7338720,10601745,3263025.0,7338720.0,10601745.0,3263025,7338720,10601745,274,309,11392401,10048744,30711944,29368287,1,14.124480271157518,2.9053972870576423,University of California-Davis
120,3,12563,14313,26876,1,2006236.0,1927655.0,3933891,51,49,114516.0,88523.0,203039,128114.0,66563.0,9.0,9.0,137265.0,69659.0,8.4,8.6,42804.0,34273.0,15.0,14.0,44588.0,35281.0,14.4,13.6,183.0,209.0,183,209,63796.0,1211716.0,35500.0,722489.0,1934205.0,63796,1211716,35500,722489,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,5.0,0.0,4.0,0.0,4.0,0.0,9.0,9,5,14,0,4,0,4,0,18,9.0,14.0,11.0,12.0,0.0,3.0,1.0,2.0,26.0,2.0,9.0,4.0,7.0,6.0,8.0,8.0,6.0,25.0,11,23,15,19,6,11,9,8,51,3961219.0,3309579.0,7270798.0,3961219,3309579,7270798,3921854.0,3295995.0,7217849.0,3921854,3295995,7217849,171,158,7153370,7206319,18727667,18727667,1,8.661233458180664,0.49645302769692495,University of California-Irvine
121,1,13088,17241,30329,1,7108829.0,6824144.0,13932973,51,49,1000844.0,427770.0,1428614,925004.0,186931.0,9.0,12.0,979416.0,195058.0,8.5,11.5,175614.0,77228.0,27.0,23.0,193534.0,86646.0,24.5,20.5,358.0,452.0,358,452,336003.0,11961195.0,183419.0,4649186.0,16610381.0,336003,11961195,183419,4649186,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,4.0,0.0,8.0,0.0,8.0,0.0,12.0,11,2,13,0,8,0,8,0,21,21.0,11.0,25.0,7.0,0.0,2.0,1.0,1.0,34.0,9.0,13.0,13.0,9.0,11.0,2.0,12.0,1.0,35.0,30,24,38,16,11,4,13,2,69,3464697.0,6374567.0,9839264.0,3464697,6374567,9839264,11445061.0,17058922.0,28503983.0,11445061,17058922,28503983,311,377,39963867,34038413,104106646,104106646,4,30.69206070662477,-6.0573254805031835,University of California-Los Angeles
122,3,9105,10428,19533,1,1614810.0,2216338.0,3831148,42,58,49820.0,73077.0,122897,92655.0,89470.0,6.0,7.0,101078.0,96352.0,5.5,6.5,44844.0,39026.0,10.0,12.0,47204.0,44601.0,9.5,10.5,191.0,208.0,191,208,43684.0,925151.0,51348.0,983862.0,1909013.0,43684,925151,51348,983862,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,7.0,8,2,10,0,3,0,3,0,13,6.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,12.0,9,7,15,1,6,0,6,0,22,2648023.0,3646027.0,6294050.0,2648023,3646027,6294050,2624243.0,3658721.0,6282964.0,2624243,3658721,6282964,159,157,4108498,3991802,13752818,13491105,1,5.5344071265038375,-4.442723989190943,University of California-Riverside
123,5,14200,13186,27386,1,197667.0,272753.0,470420,42,58,74012.0,58079.0,132091,94634.0,89755.0,12.0,11.0,108153.0,101262.0,10.5,9.75,12788.0,13856.0,43.0,35.0,94644.0,89807.0,5.81,5.4,318.0,287.0,318,287,44744.0,1056911.0,35795.0,904209.0,1961120.0,44744,1056911,35795,904209,8.0,3.0,10.0,1.0,1.0,0.0,1.0,0.0,12.0,4.0,1.0,5.0,0.0,5.0,1.0,5.0,1.0,11.0,12,4,15,1,6,1,6,1,23,4.0,34.0,5.0,33.0,0.0,5.0,0.0,5.0,43.0,0.0,18.0,1.0,17.0,4.0,13.0,4.0,13.0,35.0,4,52,6,50,4,18,4,18,78,3431929.0,2874157.0,6306086.0,3431929,2874157,6306086,3358751.0,2855982.0,6214733.0,3358751,2855982,6214733,303,273,5226749,4399544,13454425,12535867,3,9.48131476925831,8.234289783254118,University of California-San Diego
124,3,9840,11359,21199,1,2458557.0,2716200.0,5174757,48,52,195131.0,193688.0,388819,122630.0,71175.0,10.0,10.0,154641.0,100672.0,7.93,7.07,48917.0,29737.0,17.0,20.0,62385.0,48950.0,13.33,12.15,288.0,282.0,288,282,65109.0,1584171.0,61205.0,1190829.0,2775000.0,65109,1584171,61205,1190829,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,6.0,0.0,4.0,0.0,4.0,0.0,10.0,9,7,16,0,4,0,4,0,20,10.0,12.0,13.0,9.0,0.0,2.0,1.0,1.0,24.0,4.0,16.0,10.0,10.0,5.0,5.0,6.0,4.0,30.0,14,28,23,19,5,7,7,5,54,6477908.0,4661603.0,11139511.0,6477908,4661603,11139511,6477908.0,4661603.0,11139511.0,6477908,4661603,11139511,271,204,4669549,4284677,20233804,19848932,1,11.642593323570368,0.8658976926643921,University of California-Santa Barbara
125,7,8098,8411,16509,1,0.0,0.0,0,0,0,2421.0,5647.0,8068,30522.0,30469.0,6.0,7.0,36626.0,35547.0,5.0,6.0,22588.0,24914.0,6.0,7.0,50760.0,52215.0,2.67,3.34,123.0,135.0,123,135,13397.0,238667.0,13710.0,187432.0,426099.0,13397,238667,13710,187432,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,7.0,6,4,10,0,3,0,3,0,13,0.0,18.0,0.0,18.0,0.0,1.0,0.0,1.0,19.0,0.0,12.0,0.0,12.0,0.0,9.0,0.0,9.0,21.0,0,30,0,30,0,10,0,10,40,478339.0,560926.0,1039265.0,478339,560926,1039265,476494.0,534561.0,1011055.0,476494,534561,1011055,104,105,482171,476993,1795005,1745088,2,-0.7984758539987853,1.765314669132914,University of California-Santa Cruz
127,17,437,573,1010,4,0.0,0.0,0,0,0,0.0,0.0,0,18634.0,12368.0,3.0,4.0,37268.0,32981.0,1.5,1.5,1756.0,2869.0,10.0,7.0,14633.0,15448.0,1.2,1.3,85.0,44.0,85,44,852.0,19830.0,694.0,7844.0,27674.0,852,19830,694,7844,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,1,5,1,5,1,0,1,0,7,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,2.0,7.0,0,15,0,15,0,2,0,2,17,87395.0,113245.0,200640.0,87395,113245,200640,68559.0,84598.0,153157.0,68559,84598,153157,85,44,75621,64189,308596,251417,0,-6.148953616032307,-1.9307500838585483,Canada College
128,17,3136,3131,6267,4,0.0,0.0,0,0,0,0.0,0.0,0,8087.0,7591.0,8.0,8.0,80870.0,75910.0,0.8,0.8,2387.0,2600.0,28.0,15.0,15989.0,15984.0,4.18,2.44,263.0,109.0,263,109,7928.0,202938.0,9323.0,122056.0,324994.0,7928,202938,9323,122056,0.0,6.0,5.0,1.0,0.0,2.0,2.0,0.0,8.0,0.0,6.0,3.0,3.0,0.0,2.0,2.0,0.0,8.0,0,12,8,4,0,4,4,0,16,0.0,31.0,0.0,31.0,0.0,2.0,0.0,2.0,33.0,0.0,14.0,0.0,14.0,0.0,4.0,0.0,4.0,18.0,0,45,0,45,0,6,0,6,51,284283.0,271132.0,555415.0,284283,271132,555415,275621.0,255795.0,531416.0,275621,255795,531416,251,101,1136451,1121141,1948125,1890025,3,-2.6776464223382055,6.193408220334121,College of the Canyons
129,17,3106,3600,6706,4,0.0,0.0,0,0,0,0.0,0.0,0,58653.0,51644.0,10.0,9.0,146633.0,129110.0,4.0,3.6,5069.0,2421.0,43.0,31.0,27944.0,18763.0,7.8,4.0,340.0,163.0,340,163,9560.0,269158.0,10631.0,169969.0,439127.0,9560,269158,10631,169969,0.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,5.0,1.0,0.0,3.0,3.0,0.0,9.0,0,16,14,2,0,3,3,0,19,0.0,43.0,2.0,41.0,0.0,0.0,0.0,0.0,43.0,0.0,20.0,0.0,20.0,0.0,11.0,0.0,11.0,31.0,0,63,2,61,0,11,0,11,74,763199.0,722693.0,1485892.0,763199,722693,1485892,747594.0,715459.0,1463053.0,747594,715459,1463053,324,146,605205,604827,2802820,2760428,3,0.23327440266807922,9.948970651530292,Cerritos College
130,17,338,501,839,4,0.0,0.0,0,0,0,2962.0,174.0,3136,13498.0,15878.0,2.0,3.0,53992.0,63512.0,0.5,0.75,4300.0,3867.0,2.0,3.0,43000.0,38670.0,0.2,0.3,40.0,32.0,40,32,5292.0,76736.0,4612.0,46086.0,122822.0,5292,76736,4612,46086,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0,3,2,1,0,2,1,1,5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0,3,0,3,0,2,0,2,5,72489.0,121072.0,193561.0,72489,121072,193561,72383.0,118898.0,191281.0,72383,118898,191281,40,32,105832,105832,358330,351249,0,-6.689957691691481,-3.9789834625336487,Cerro Coso Community College
131,17,1894,2017,3911,4,0.0,0.0,0,0,0,0.0,0.0,0,23892.0,17355.0,9.0,7.0,75185.0,60743.0,2.86,2.0,5377.0,4581.0,23.0,9.0,83561.0,71084.0,1.48,0.58,255.0,96.0,255,96,8824.0,227412.0,6324.0,80829.0,308241.0,8824,227412,6324,80829,0.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,3.0,2.0,0.0,2.0,0.0,2.0,7.0,0,14,10,4,0,2,0,2,16,0.0,28.0,3.0,25.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,5.0,0.0,7.0,0.0,7.0,12.0,0,33,3,30,0,7,0,7,40,554827.0,277812.0,832639.0,554827,277812,832639,554827.0,277812.0,832639.0,554827,277812,832639,252,95,375455,375455,1602979,1602979,3,-3.0772071695350687,3.995390827761965,Chabot College
132,17,2674,3192,5866,4,0.0,0.0,0,0,0,0.0,0.0,0,19087.0,27427.0,7.0,7.0,57590.0,64426.0,2.32,2.98,10306.0,7668.0,17.0,8.0,51530.0,37178.0,3.4,1.65,208.0,103.0,208,103,9340.0,210939.0,9710.0,134256.0,345195.0,9340,210939,9710,134256,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,7.0,0,11,3,8,1,2,1,2,14,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,8.0,0,20,0,20,0,5,0,5,25,331859.0,299900.0,631759.0,331859,299900,631759,288735.0,258256.0,546991.0,288735,258256,546991,207,102,1002266,993549,2173738,2040264,0,-4.124812002688749,1.6524672439837207,Chaffey College
133,6,2387,3732,6119,2,0.0,0.0,0,0,0,11315.0,2440.0,13755,35124.0,30427.0,10.0,11.0,67159.0,55969.0,5.23,5.98,10552.0,4137.0,15.0,13.0,41112.0,25981.0,3.85,2.07,276.0,197.0,276,197,10463.0,304483.0,14913.0,270034.0,574517.0,10463,304483,14913,270034,1.0,7.0,7.0,1.0,0.0,2.0,2.0,0.0,10.0,0.0,5.0,4.0,1.0,0.0,6.0,5.0,1.0,11.0,1,12,11,2,0,8,7,1,21,0.0,22.0,5.0,17.0,0.0,2.0,0.0,2.0,24.0,0.0,13.0,1.0,12.0,0.0,9.0,1.0,8.0,22.0,0,35,6,29,0,11,1,10,46,660358.0,750218.0,1410576.0,660358,750218,1410576,660358.0,750218.0,1410576.0,660358,750218,1410576,261,189,1287259,1287259,3484790,3484790,3,-0.40098555019242305,7.532911959309434,Chapman University
134,5,651,1121,1772,2,1510240.0,1835882.0,3346122,45,55,7325.0,10950.0,18275,54705.0,52658.0,8.0,9.0,79571.0,78987.0,5.5,6.0,9828.0,12632.0,22.0,22.0,18018.0,22232.0,12.0,12.5,213.0,285.0,213,285,27345.0,630051.0,29577.0,671433.0,1301484.0,27345,630051,29577,671433,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,0.0,3.0,1.0,3.0,1.0,9.0,3,10,13,0,3,1,3,1,17,4.0,11.0,5.0,10.0,0.0,7.0,2.0,5.0,22.0,3.0,8.0,4.0,7.0,2.0,9.0,4.0,7.0,22.0,7,19,9,17,2,16,6,12,44,2413295.0,3041775.0,5455070.0,2413295,3041775,5455070,2413295.0,3041775.0,5455070.0,2413295,3041775,5455070,174,200,673892,673892,7465075,7465075,2,3.900866279393262,3.6611926883946446,Concordia University-Irvine
135,9,251,266,517,2,1217595.0,1095305.0,2312900,53,47,2210.0,3187.0,5397,26464.0,23373.0,5.0,6.0,42006.0,44520.0,3.15,3.15,9000.0,11375.0,5.0,4.0,22500.0,22750.0,2.0,2.0,88.0,85.0,88,85,9717.0,167848.0,15497.0,205502.0,373350.0,9717,167848,15497,205502,2.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,2,3,4,1,1,5,3,3,11,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,0,7,0,7,0,4,0,4,11,1240233.0,1275302.0,2515535.0,1240233,1275302,2515535,1240233.0,1275302.0,2515535.0,1240233,1275302,2515535,87,82,202557,202557,3472250,3472250,0,-3.7803521764237815,-1.5073765550317082,San Diego Christian College
136,17,2334,2663,4997,4,0.0,0.0,0,0,0,1134.0,852.0,1986,36337.0,32667.0,7.0,8.0,58608.0,59939.0,4.34,4.36,9945.0,7956.0,11.0,7.0,29727.0,25547.0,3.68,2.18,172.0,104.0,172,104,6987.0,149322.0,8407.0,107908.0,257230.0,6987,149322,8407,107908,2.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0,3.0,0.0,1.0,4.0,5.0,0.0,8.0,3,6,7,2,1,5,6,0,15,1.0,21.0,2.0,20.0,0.0,1.0,0.0,1.0,23.0,0.0,10.0,1.0,9.0,0.0,9.0,0.0,9.0,19.0,1,31,3,29,0,10,0,10,42,201076.0,375095.0,576171.0,201076,375095,576171,199940.0,376218.0,576158.0,199940,376218,576158,172,95,808287,798481,1843387,1831114,3,-2.4129378658464,3.840854103365435,Citrus College
137,17,2814,2536,5350,4,0.0,0.0,0,0,0,0.0,0.0,0,7215.0,5616.0,6.0,9.0,23917.0,23842.0,1.81,2.12,4160.0,2418.0,12.0,6.0,23885.0,23784.0,2.09,0.61,179.0,107.0,179,107,4589.0,124556.0,7988.0,91484.0,216040.0,4589,124556,7988,91484,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,3.0,0.0,2.0,1.0,1.0,9.0,0,13,10,3,0,2,1,1,15,0.0,19.0,6.0,13.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,0.0,8.0,0.0,3.0,0.0,3.0,11.0,0,27,6,21,0,3,0,3,30,113505.0,136061.0,249566.0,113505,136061,249566,113505.0,136061.0,249566.0,113505,136061,249566,173,97,286000,286000,685552,685552,0,-4.118415788631504,2.2256060812422778,City College of San Francisco
138,6,688,655,1343,2,0.0,0.0,0,0,0,45376.0,27848.0,73224,45695.0,52179.0,10.0,11.0,64816.0,74061.0,7.05,7.75,11472.0,6714.0,27.0,23.0,31769.0,29027.0,9.75,5.32,293.0,274.0,293,274,17354.0,443761.0,20897.0,424855.0,868616.0,17354,443761,20897,424855,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,11.0,0,16,16,0,0,5,5,0,21,3.0,19.0,3.0,19.0,0.0,5.0,0.0,5.0,27.0,0.0,11.0,0.0,11.0,0.0,12.0,0.0,12.0,23.0,3,30,3,30,0,17,0,17,50,932765.0,1401880.0,2334645.0,932765,1401880,2334645,932765.0,1401880.0,2334645.0,932765,1401880,2334645,271,245,2043255,2043255,5321386,5321386,3,1.2882121755348948,8.793940842058632,Claremont McKenna College
139,17,328,361,689,4,0.0,0.0,0,0,0,0.0,0.0,0,17068.0,17068.0,1.0,1.0,68272.0,68272.0,0.25,0.25,2000.0,2000.0,2.0,2.0,19048.0,19048.0,0.21,0.21,11.0,12.0,11,12,1803.0,19834.0,719.0,8631.0,28465.0,1803,19834,719,8631,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0,0,0,0,0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0,2,0,2,0,2,0,2,4,0.0,53917.0,53917.0,0,53917,53917,0.0,53917.0,53917.0,0,53917,53917,11,12,25288,25288,137463,137463,0,-7.289865350468957,-5.200310376173529,Columbia College
140,17,711,1008,1719,4,0.0,0.0,0,0,0,0.0,0.0,0,7313.0,6250.0,4.0,4.0,19501.0,18797.0,1.5,1.33,2157.0,2400.0,14.0,5.0,16063.0,19048.0,1.88,0.63,148.0,57.0,148,57,2480.0,79925.0,2877.0,41156.0,121081.0,2480,79925,2877,41156,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,1,5,1,5,0,2,0,2,8,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,0,18,0,18,0,1,0,1,19,58934.0,61424.0,120358.0,58934,61424,120358,68054.0,58964.0,127018.0,68054,58964,127018,148,53,328819,328819,566653,565681,0,-6.206606399898959,-1.0339802521252868,El Camino College-Compton Center
141,17,764,1012,1776,4,0.0,0.0,0,0,0,0.0,0.0,0,12936.0,12250.0,4.0,4.0,66338.0,68056.0,0.78,0.72,2375.0,2525.0,8.0,4.0,19000.0,25250.0,1.0,0.4,147.0,45.0,147,45,617.0,21850.0,1562.0,16913.0,38763.0,617,21850,1562,16913,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,0,5,2,3,0,3,0,3,8,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,7.0,0,19,0,19,0,5,0,5,24,138971.0,174727.0,313698.0,138971,174727,313698,134472.0,166234.0,300706.0,134472,166234,300706,144,44,425000,395760,1023222,978169,0,-6.037705798732721,-0.41002484871932887,Contra Costa College
